"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2024","AirNow","360470052","4","9.5","ug/m3 LC","40","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/02/2024","AirNow","360470052","4","5.3","ug/m3 LC","22","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/03/2024","AirNow","360470052","4","7.7","ug/m3 LC","32","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/04/2024","AirNow","360470052","4","7.5","ug/m3 LC","31","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/05/2024","AirNow","360470052","4","5.5","ug/m3 LC","23","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/06/2024","AirNow","360470052","4","12.5","ug/m3 LC","52","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/07/2024","AirNow","360470052","4","3.2","ug/m3 LC","13","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/08/2024","AirNow","360470052","4","5.4","ug/m3 LC","23","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/09/2024","AirNow","360470052","4","10","ug/m3 LC","42","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/10/2024","AirNow","360470052","4","2.6","ug/m3 LC","11","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/11/2024","AirNow","360470052","4","4.8","ug/m3 LC","20","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/12/2024","AirNow","360470052","4","7.9","ug/m3 LC","33","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/13/2024","AirNow","360470052","4","4.5","ug/m3 LC","19","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/14/2024","AirNow","360470052","4","3.7","ug/m3 LC","15","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/15/2024","AirNow","360470052","4","5.5","ug/m3 LC","23","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/16/2024","AirNow","360470052","4","10.5","ug/m3 LC","44","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/17/2024","AirNow","360470052","4","6.8","ug/m3 LC","28","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/18/2024","AirNow","360470052","4","8.7","ug/m3 LC","36","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/19/2024","AirNow","360470052","4","11.4","ug/m3 LC","48","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/20/2024","AirNow","360470052","4","4.1","ug/m3 LC","17","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
"01/21/2024","AirNow","360470052","4","3.2","ug/m3 LC","13","PS 314","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","047","Kings","40.64182","-74.01871"
