"","Date","Source","Site.ID","POC","Daily.Max.8.hour.CO.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/01/2021","AQS",360050133,1,0.3,"ppm",3,"PFIZER LAB SITE",19,79,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"2","01/02/2021","AQS",360050133,1,0.4,"ppm",5,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"3","01/03/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"4","01/04/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"5","01/05/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"6","01/06/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"7","01/07/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"8","01/08/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"9","01/09/2021","AQS",360050133,1,0.2,"ppm",2,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"10","01/10/2021","AQS",360050133,1,0.3,"ppm",3,"PFIZER LAB SITE",24,100,42101,"Carbon monoxide",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
